PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Cabin_U
1,0,3,-0.4977932682712406,0.4327933656785018,-0.4736736092984604,-0.5024451714361923,True,False,True,False,False,False,False,False,False,False,True
2,1,1,0.7150480664489618,0.4327933656785018,-0.4736736092984604,0.7868452935884461,False,False,False,False,True,False,False,False,False,False,False
3,1,3,-0.19458293459119,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,False,False,True,False,False,False,False,False,False,False,True
4,1,1,0.48764031618892384,0.4327933656785018,-0.4736736092984604,0.4207302360686478,False,False,True,False,True,False,False,False,False,False,False
5,0,3,0.48764031618892384,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,True,False,True,False,False,False,False,False,False,False,True
6,0,3,-0.3461881014312153,-0.47454519624983954,-0.4736736092984604,-0.47811642890864375,True,True,False,False,False,False,False,False,False,False,True
7,0,1,1.927889401169164,-0.47454519624983954,-0.4736736092984604,0.395813560675251,True,False,True,False,False,False,True,False,False,False,False
8,0,3,-2.0138449366714934,2.2474704895351842,0.7676298785983874,-0.22408312108167944,True,False,True,False,False,False,False,False,False,False,True
9,1,3,-0.11878035117117736,-0.47454519624983954,2.0089333664952354,-0.4242561406845337,False,False,True,False,False,False,False,False,False,False,True
10,1,2,-1.1042139356313418,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,False,False,False,False,False,False,False,False,False,False,True
11,1,3,-1.8622397698314683,0.4327933656785018,0.7676298785983874,-0.312172377522981,False,False,True,False,False,False,False,False,True,False,False
12,1,1,2.2310997348492148,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,False,False,True,False,True,False,False,False,False,False,False
13,0,3,-0.6493984351112659,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,True,False,True,False,False,False,False,False,False,False,True
14,0,3,0.7908506498689745,0.4327933656785018,5.73284383018578,-0.01870931177853076,True,False,True,False,False,False,False,False,False,False,True
15,0,3,-1.1042139356313418,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,False,False,True,False,False,False,False,False,False,False,True
16,1,2,2.0036919845891767,-0.47454519624983954,-0.4736736092984604,-0.3262666585535892,False,False,True,False,False,False,False,False,False,False,True
17,0,3,-2.0138449366714934,3.1548090514635256,0.7676298785983874,-0.06199888922968463,True,True,False,False,False,False,False,False,False,False,True
18,1,2,-0.3461881014312153,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,True,False,True,False,False,False,False,False,False,False,True
19,0,3,0.18442998250887324,0.4327933656785018,-0.4736736092984604,-0.2859972841804228,False,False,True,False,False,False,False,False,False,False,True
20,1,3,-0.3461881014312153,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,False,False,False,False,False,False,False,False,False,False,True
21,0,2,0.48764031618892384,-0.47454519624983954,-0.4736736092984604,-0.12491978668775715,True,False,True,False,False,False,False,False,False,False,True
22,1,2,0.41183773276891117,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,True,False,True,False,False,True,False,False,False,False,False
23,1,3,-1.0284113522113292,-0.47454519624983954,-0.4736736092984604,-0.4867562231804066,False,True,False,False,False,False,False,False,False,False,True
24,1,1,-0.04297776775116471,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,True,False,True,False,False,False,False,False,False,False,False
25,0,3,-1.5590294361514176,2.2474704895351842,0.7676298785983874,-0.22408312108167944,False,False,True,False,False,False,False,False,False,False,True
26,1,3,0.7150480664489618,0.4327933656785018,5.73284383018578,-0.016444159470040135,False,False,True,False,False,False,False,False,False,False,True
27,0,3,-0.3461881014312153,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,True,False,False,False,False,False,False,False,False,False,True
28,0,1,-0.7252010185312785,2.2474704895351842,2.0089333664952354,4.647001076532463,True,False,True,False,True,False,False,False,False,False,False
29,1,3,-0.3461881014312153,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,False,True,False,False,False,False,False,False,False,False,True
30,0,3,-0.3461881014312153,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,True,False,True,False,False,False,False,False,False,False,True
31,0,1,0.866653233288987,-0.47454519624983954,-0.4736736092984604,-0.09027201697708476,True,False,False,False,False,False,False,False,False,False,True
32,1,1,-0.3461881014312153,0.4327933656785018,-0.4736736092984604,2.301728820789,False,False,False,True,False,False,False,False,False,False,False
33,1,3,-0.3461881014312153,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,False,True,False,False,False,False,False,False,False,False,True
34,0,2,2.837520402209316,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,True,False,True,False,False,False,False,False,False,False,True
35,0,1,-0.04297776775116471,0.4327933656785018,-0.4736736092984604,1.0060617003323709,True,False,False,False,False,False,False,False,False,False,True
36,0,1,1.0182584001290125,0.4327933656785018,-0.4736736092984604,0.39858208016340624,True,False,True,False,False,False,False,False,False,False,True
37,1,3,-0.3461881014312153,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,True,False,False,False,False,False,False,False,False,False,True
38,0,3,-0.5735958516912533,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,True,False,True,False,False,False,False,False,False,False,True
39,0,3,-0.8010036019512912,1.340131927606843,-0.4736736092984604,-0.2859972841804228,False,False,True,False,False,False,False,False,False,False,True
40,1,3,-1.1042139356313418,0.4327933656785018,-0.4736736092984604,-0.42207354059350805,False,False,False,False,False,False,False,False,False,False,True
41,0,3,0.866653233288987,0.4327933656785018,-0.4736736092984604,-0.4576454924460446,False,False,True,False,False,False,False,False,False,False,True
42,0,2,-0.11878035117117736,0.4327933656785018,-0.4736736092984604,-0.22559322262067316,False,False,True,False,False,False,False,False,False,False,True
43,0,3,-0.3461881014312153,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,True,False,False,False,False,False,False,False,False,False,True
44,1,2,-1.938042353251481,0.4327933656785018,2.0089333664952354,0.18876253192945994,False,False,False,False,False,False,False,False,False,False,True
45,1,3,-0.7252010185312785,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,False,True,False,False,False,False,False,False,False,False,True
